path	line	kind	title	status_signals	duplicate_key
Book-A_Criticism_of_Humanity/a_criticism_on_humanity_by_chatgpt.md	1004	identity	20. Humanity Protects Identity More Fiercely Than Reality		humanity protects more fiercely than reality
Book-A_Criticism_of_Humanity/a_criticism_on_humanity_by_chatgpt.md	1090	identity	Identity fits in a hashtag.		fits in a hashtag
Book-A_Criticism_of_Humanity/a_criticism_on_humanity_by_chatgpt.md	1342	identity	Identity surviving revision.		surviving revision
CLAUDE.md	154	identity	The Single-Circumpunct Identity		the single circumpunct
CLAUDE.md	618	identity	Four-Stage Cascade (Thought → Identity)		four stage cascade thought
Circumpunct_ToE.md	238	derivation	Derivation Chain Status	conditional	chain status
Circumpunct_ToE.md	264	axiom	Axiom A0		a0
Circumpunct_ToE.md	294	identity	Cosmological Identity		cosmological
Circumpunct_ToE.md	318	axiom	Axiom A1		a1
Circumpunct_ToE.md	441	derivation	Derivation D1		d1
Circumpunct_ToE.md	465	derivation	Derivation chain (complete)		chain complete
Circumpunct_ToE.md	512	axiom	Axiom A2		a2
Circumpunct_ToE.md	579	derivation	Derivation D2		d2
Circumpunct_ToE.md	635	conjecture	Physics: BSD Conjecture (Clay Problem at 1.5D)	conjectural	physics bsd clay problem at 5d
Circumpunct_ToE.md	690	axiom	Axiom A3		a3
Circumpunct_ToE.md	801	derivation	Derivation D3		d3
Circumpunct_ToE.md	850	conjecture	Physics: Hodge Conjecture (Clay Problem at 2.5D)	conjectural	physics hodge clay problem at 5d
Circumpunct_ToE.md	877	axiom	Axiom A4		a4
Circumpunct_ToE.md	914	conjecture	Physics: Poincaré Conjecture (Clay Problem at 3D, SOLVED)	conjectural,verified	physics poincar clay problem at 3d solved
Circumpunct_ToE.md	937	derivation	Derivation chain (complete)		chain complete
Circumpunct_ToE.md	1253	derivation	Derivation D4		d4
Circumpunct_ToE.md	1310	derivation	Derivation D5		d5
Circumpunct_ToE.md	1620	identity	The Circumpunct Identity		the circumpunct
calculations/eml_alpha_results.md	1	derivation	EML-Tree Symbolic Regression: Sanity Check on Framework α Derivation		eml tree symbolic regression sanity check on framework
